,url,fork,stars,contr_count,lang,have_site,have_releases,license
79,https://github.com/rust-lang-deprecated/tempdir,27,136,1,"[('Rust', 100.0)]",False,False,
80,https://github.com/mozilla/janus-plugin-sfu,43,136,1,"[('Rust', 86.6), ('JavaScript', 11.0), ('HTML', 1.9), ('Makefile', 0.5)]",False,False,MPL-2.0 license
81,https://github.com/meqif/rust-utp,28,136,1,"[('Rust', 100.0)]",False,False,
82,https://github.com/jwilm/racerd,24,135,1,"[('Rust', 91.9), ('Python', 6.7)]",False,False,Apache-2.0 license
83,https://github.com/raymontag/rust-keepass,7,134,1,"[('Rust', 100.0)]",False,False,ISC license
84,https://github.com/johannhof/markdown.rs,43,134,1,"[('Rust', 100.0)]",False,False,
85,https://github.com/InQuicker/kaws,11,132,1,"[('Rust', 72.3), ('HCL', 26.8), ('Makefile', 0.9)]",False,False,MIT license
86,https://github.com/ffwff/hana,7,132,1,"[('Rust', 80.1), ('C', 19.9)]",False,False,GPL-3.0 license
87,https://github.com/wycats/rust-activesupport,5,132,1,"[('Rust', 100.0)]",False,False,
88,https://github.com/TomBebbington/js.rs,12,132,1,"[('Rust', 99.0), ('JavaScript', 1.0)]",False,False,MIT license
89,https://github.com/ntrupin/abstractml,15,130,1,"[('Rust', 55.0), ('JavaScript', 43.8), ('HTML', 1.2)]",False,False,Apache-2.0 license
90,https://github.com/ntrupin/abstractml,15,130,1,"[('Rust', 55.0), ('JavaScript', 43.8), ('HTML', 1.2)]",False,False,Apache-2.0 license
91,https://github.com/acidnik/ppcp,9,130,1,"[('Rust', 100.0)]",False,False,MIT license
92,https://github.com/carllerche/syncbox,14,130,1,"[('Rust', 99.5), ('Shell', 0.5)]",False,False,
93,https://github.com/harryfei/sugar-rs,6,130,1,"[('Rust', 100.0)]",False,False,
94,https://github.com/calavera/aws-lambda-events,56,129,1,"[('Rust', 100.0)]",False,False,MIT license
95,https://github.com/standbyme/jvm-rs,10,129,1,"[('Rust', 99.6), ('Java', 0.4)]",False,False,MIT license
96,https://github.com/mistodon/gfx-hal-tutorials,20,129,1,"[('Rust', 97.3), ('GLSL', 2.0), ('Shell', 0.7)]",False,False,
97,https://github.com/fitzgen/oxischeme,8,128,1,"[('Rust', 91.7), ('Scheme', 7.8), ('Shell', 0.5)]",False,False,Apache-2.0 license
